Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2012,AFG,31161376.0,3.4075869739999995,652860.0,19583319576.0,630.0,56390324156.0,1810.0,62.053999999999995,5.562,100.79700000000001,80.5,59.0,13500.0,0.3451487829,20001615789.0,12.75228708,7.3017564770000005,24.39087363,21.15780715,18.96654129,62.62026042,16.90625457,49.22797697,47.48616362,143.2661496,323642538.3,56823660.0,641.8720337999998,-56823660.0,6.441212809,33.59872862,261.34,219.588,69610.0,10000.0,52740.0,16.70631037
YR2012,ALB,2900401.0,-0.1651510401,28750.0,12658337720.0,4360.0,30302886780.0,10450.0,77.252,1.6840000000000002,20.73,11.4,98.0,7743.800048999998,1.692908325,12319784886.0,1.4175259919999998,1.042432461,18.76679889,22.91851208,28.93748701,47.57271286,28.32854996,120.10585790000002,55.60162018,95.70158391,215775643.9,918313370.7,4247.614342,-834803023.1,2.036422356,42.46876885,106.363,53.161,362.0,6.0,209.0,0.2390290092000001
YR2012,DZA,37383887.0,1.951415209,2381740.0,193204750261.0,5170.0,494561375122.0,13230.0,75.436,2.952,11.556,26.1,95.0,19331.999509999998,3.477108092,209058991952.0,3.374768651,7.481337601,8.770686355,47.85501775,36.89054757,28.51443136,39.15827823,100.384679,58.47344755,290.9311768,44242618.92,1500402453.0,5592.22191,-1541844615.0,8.891450911,18.82684822,111.978,88.42299999999999,20853.0,1100.0,15344.0,1.6942160769999999
YR2012,ASM,55667.0,-0.1651320534,200.0,,,,,,,,,,176.3999939,,644000000.0,-4.39238653,17.3495686,,,74.8447205,99.8447205,,,127.01863349999999,136.4787875,,,11568.793,,,,,,,,,0.7159623709
YR2012,AND,82427.0,-1.588729602,470.0,,,,,,,,3.8,98.0,160.0,5.916884031,3164615187.0,-1.615218183,1.099913621,0.6122564981,11.02427102,,,,77.48067987,,,,,38392.9439,,,,,,3.0,,1.0,0.0
YR2012,AGO,25107931.0,3.597774308,1246700.0,104804632353.0,4170.0,156204906800.0,6220.0,57.236000000000004,6.039,167.4,104.9,65.0,582303.9844,1.330218567,128052853643.0,8.542147337000001,7.255710281,6.069630075,56.91821975,55.94013141,35.8599672,26.66757886,50.92059955,74.03974008,249.81749130000003,2051320868.0,-1464627991.0,5100.095808,2351103731.0,10.27790492,49.29015106,289.127,215.577,73589.0,3100.0,37825.0,26.46206776
YR2012,ATG,90409.0,1.286878642,440.0,1151784297.0,12740.0,1799451908.0,19900.0,76.087,1.993,47.0,8.5,98.0,98.00000191,5.800097335,1211411704.0,3.506609222,2.480504656,1.88087874,14.11810451,44.85125343,57.94751064,,140.8941588,45.81431716,65.78509601,2157660.741,129367138.9,13399.23795,-129367138.9,3.376880443,,157.793,110.91,10.0,1.0,7.0,0.34730711189999997
YR2012,ARG,41733271.0,1.136905694,2780400.0,496046283910.0,11890.0,805324243205.0,19300.0,75.598,2.33,63.567,13.3,94.0,280024.0039,4.609179856,545982375701.0,-1.0264204540000001,22.31488067,5.781744207000001,24.42905706,16.23785946,14.28868291,16.50198653,154.059023,27.09904323,167.36311369999999,979205922.3,15323933917.0,13082.66433,-14269084339.0,,41.3492506,157.542,84.92299999999999,8850.0,350.0,5565.0,2.01763638
YR2012,ARM,2884229.0,0.26701321440000003,29740.0,11192555417.0,3880.0,22940503025.0,7950.0,73.82,1.725,24.842,16.7,97.0,3313.999939000001,1.974479488,10619320049.0,7.200000004,5.345804416,17.91268195,27.82709461,27.56672188,48.40002152,25.32790588,115.20691459999999,53.12016188,121.3759831,314788691.7,496636701.1,3681.857456,-473210732.1,2.558020078,47.16753963,181.537,78.137,659.0,13.0,389.0,0.012819130500000001
YR2012,ABW,102560.0,0.5024301157,180.0,2412460160.0,23520.0,3474023747.0,33870.0,75.29899999999998,1.795,28.511999999999997,,,4.199999869,13.15772231,2534636872.0,-1.369863014,0.7890860843,,,65.24134891,82.43332599,26.64756447,131.6302652,135.5036313,105.9565848,67821229.05,-314692737.4,24713.69805,317486033.5,0.6279279216,,120.311,74.589,,,,1.473163002
