Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2008,AFG,27722276.0,2.268277145,652860.0,,,,,59.93,6.3729999999999976,126.633,95.9,59.0,13500.0,0.15172091210000002,10109218068.0,3.9249838230000003,2.096288748,24.89227001,26.915628,26.94859147,73.12136638,19.02132046,28.49300324,35.21538438,130.7527251,216603835.9,40353040.0,364.66046539999996,-46033740.0,26.41866415,32.77736443,281.258,238.354,79722.0,12000.0,58786.0,20.09007372
YR2008,ALB,2947314.0,-0.7673429590999999,28750.0,11892851618.0,4040.0,24374019658.0,8270.0,75.91199999999998,1.6540000000000001,18.9116,15.5,98.0,7787.399901999999,1.4843111390000001,12881353508.0,7.49996956,4.1171809139999995,16.83708716,25.16102051,25.30241812,52.14933338,35.77842295,61.9324483,51.283430700000004,90.48361119,279685288.7,1253058936.0,4370.539925,-881244175.1,3.3631375739999996,42.40665608,106.00399999999999,58.217,502.0,7.0,237.0,0.48060989049999997
YR2008,DZA,34730608.0,1.636192663,2381740.0,146377600561.0,4210.0,421055083320.0,12120.0,74.311,2.728,10.0608,29.4,88.0,17651.999509999998,3.1732245519999998,171000691878.0,2.360134861,15.35548006,6.5865585860000015,58.62073361,47.97334514,28.71117692,37.34843691,77.83184216,69.45995288,231.4513173,26782545.16,2638607034.0,4923.630818,-2320754664.0,4.858590628,16.26774639,120.79299999999999,95.34,19922.0,950.0,14539.0,3.051589842
YR2008,ASM,57492.0,-1.507058742,200.0,,,,,,,,,,177.8000069,,563000000.0,-2.613480055,11.17476097,,,113.8543517,133.9253996,,,160.7460036,152.9356731,,,9792.666806000001,,,,,,,,,0.7280376290999999
YR2008,AND,83862.0,1.414647779,470.0,,,,,,1.25,,4.6,98.0,160.0,6.427809974,4007353157.0,-8.590003787,1.980073056,0.4422805594,15.48457135,,,,76.55672414,,,,,47785.08927,,,,,,4.0,,2.0,0.0
YR2008,AGO,21695634.0,3.710531322,1246700.0,65659539401.0,3030.0,114065240410.0,5260.0,53.243,6.32,178.4632,138.3,48.0,587296.0156,1.185000494,88538611205.0,11.16613833,19.3699206,4.805339317,60.25482013,72.47502847,48.88967943,30.80405318,31.21990351,95.88585008,233.81864019999998,669453676.0,1678971010.0,4080.9414100000004,890672963.9,12.47582913,49.10737305,324.524,251.65599999999998,84569.0,4000.0,39622.0,31.66557603
YR2008,ATG,85397.0,1.618469661,440.0,1300973476.0,15230.0,2047011174.0,23970.0,75.535,2.005,50.328,10.8,99.0,98.00000191,5.625221026,1368431037.0,-0.03013326815,4.38021371,1.549311488,19.15681322,45.69968451,69.58391494,,159.94941269999995,59.04572303,87.81536304,2367652.222,158783774.4,16024.34555,-158783774.4,5.333806398,,165.5,117.031,13.0,1.0,9.0,0.6800199069
YR2008,ARG,40080160.0,0.9925931298,2780400.0,307363845739.0,7670.0,697740913973.0,17410.0,74.952,2.366,63.0638,15.3,96.0,292320.0,4.718224428,361558037110.0,4.057233103,23.17116498,7.318954597,26.27245994,22.06090038,18.341773,19.57277588,116.03939209999999,35.25851645,139.41679340000002,631436069.1,9725560000.0,9020.873098,-8334618541.0,,41.25773511,165.09400000000005,88.863,10046.0,390.0,5952.0,1.7109666559999999
YR2008,ARM,2907618.0,-0.8561350158,29740.0,10463239024.0,3600.0,22374632459.0,7700.0,72.946,1.712,27.1964,20.5,94.0,3313.999939000001,1.911933411,11662040714.0,6.9000000020000005,5.989562359,,,15.0471063,40.65575862,43.80948121,49.59385999,47.0157851,118.4498408,223597466.9,943733059.5,4010.857243,-913226598.5,8.949953354,46.27187515,196.828,88.245,800.0,16.0,476.0,0.034506341339999996
YR2008,ABW,101358.0,0.1342679637,180.0,2585668013.0,25510.0,3737873635.0,36880.0,74.725,1.7590000000000001,32.792,,,4.199999869,26.22955267,2745251397.0,-0.09070775352,5.0728781430000005,0.3807285307,18.03140008,67.7045177,78.18477818,33.25193325,119.18743459999999,417.7126577,125.53103190000002,75642458.1,18882681.56,27084.70369,-16089385.47,8.957221053,,126.884,78.855,,,,1.332064923
YR2008,AUS,21249200.0,2.00402174,7741220.0,899523426071.0,42330.0,763437639657.0,35930.0,81.39512195,1.984,16.1404,5.2,94.0,1249830.0,18.16087566,1053995523724.0,3.6579437169999998,4.525546586,2.338630424,25.59353375,20.16167323,22.70865946,28.66459472,103.6926101,36.76770833,174.4629064,3366427027.0,45160024271.0,49601.65671,-13272117217.0,4.35029855,45.04539643,81.993,46.632,1257.0,15.0,861.0,0.0
YR2008,AUT,8321496.0,0.3130414377,83879.00391,408644604544.0,49110.0,346680570770.0,41660.0,80.43170732,1.42,10.5944,4.5,83.0,38563.999019999996,8.295095977999999,430294287388.0,1.460425193,1.956320756,1.342223027,26.96021414,53.24886062,48.82482212,24.46746074,129.6644309,84.96092342,146.2696949,2985151475.0,6310797391.0,51708.76575,21598079156.0,3.21595023,45.73112427,99.617,50.262,290.0,4.0,202.0,0.0
YR2008,AZE,8763400.0,2.099854033,86600.0,34139127629.0,3900.0,110454350789.0,12600.0,70.20100000000001,1.9,40.635999999999996,43.1,79.0,9558.599854,4.051383481,48852482960.0,10.59143729,27.97103631,5.570891841,65.51852147,65.77613785,23.46675902,18.69363085,74.22460059999997,78.11271339,190.3200698,567345000.0,3986807000.0,5574.603802000001,540824000.0,20.837292899999998,48.24028165,188.489,91.02799999999999,5493.0,49.0,3446.0,0.2191831624
YR2008,BHS,343681.0,1.8477334230000002,13880.0,10639029295.0,30960.0,10354802856.0,30130.0,72.02199999999998,1.881,38.1306,13.7,90.0,5150.0,4.3532694560000005,10526000000.0,-2.323966973,1.488942038,1.0431312940000002,10.38951169,39.49363481,47.93558807,29.45563367,104.180912,39.47368421,90.67034928,65924820.0,860156197.0,30627.23863,-860156197.0,4.489559954,47.88203295,214.28099999999998,130.391,58.0,4.0,43.0,0.6493886182999999
YR2008,BHR,1114641.0,7.324342452000001,760.0,23250133029.0,20860.0,43593007829.0,39110.0,75.77,2.241,14.6282,9.3,99.0,4.900000095,26.70698996,25710877660.0,6.245128341,11.36485349,0.2648105105,50.40781853,82.5774338,63.30522825,35.17118034,129.2597347,125.61220359999999,161.0296246,1774489021.0,1793998355.0,23066.5099,-173519631.1,3.5260031639999996,20.70199722,81.023,64.95,148.0,3.0,60.0,0.0
YR2008,BGD,144304167.0,1.145653022,148460.0,95700151954.0,660.0,346829582234.0,2400.0,69.072,2.449,93.0018,55.4,92.0,14471.99951,0.3431074447,91631278239.0,6.013789759,7.860966092000001,17.59569554,24.7270013,17.65885848,24.96205555,26.202271399999997,30.93465762,42.81289179,58.89039407,14330657.12,1328422987.0,634.9870565,-1137762261.0,8.901944895,24.90809557,162.27700000000004,128.84,138058.0,9000.0,97316.0,8.548183414
YR2008,BRB,279946.0,0.4460792939,430.0,4487972847.0,16030.0,4347179604.0,15530.0,78.184,1.735,46.4058,15.1,94.0,63.00000191,5.7897380210000025,4782000000.0,0.1232068996,2.223029508,1.1836051859999999,15.19970724,43.71288164,50.88874948,18.38979506,103.11345759999999,50.35549979,122.4439453,39018966.67,462037883.8,17081.86579,-468273111.7,8.108108108,48.94158593,136.983,84.12799999999999,48.0,1.0,34.0,0.775
YR2008,BLR,9527985.0,-0.3454150543,207600.0,52095424892.0,5470.0,135510385111.0,14220.0,70.45609756,1.4880000000000002,22.1266,6.6,99.0,84947.99805,6.623163555,60763483146.0,10.19999944,21.21353617,8.666253694,38.8242464,60.93775522,68.66172333,37.64165103,85.98460465,118.413225,111.6344624,171000000.0,2187900000.0,6377.369732,-2157300000.0,14.83787648,49.57968539,334.10699999999997,111.70700000000001,511.0,7.0,229.0,0.0
YR2008,BEL,10709973.0,0.7899768455,30530.0,500420102213.0,46720.0,417983366784.0,39030.0,79.68048780000002,1.85,9.2298,4.6,93.0,6784.000244,9.751984809,518625897173.0,0.7831581958,1.915234086,0.7079190625,21.76662593,79.69598315,79.21206194,25.7304643,105.22273529999998,180.8908898,153.5950258,4124201784.0,190542715162.0,48424.5756,32847748785.0,4.489444205,44.73868953,111.631,61.62600000000001,468.0,8.0,308.0,0.0
YR2008,BLZ,306823.0,2.574385215,22970.0,1206053721.0,3930.0,2054887278.0,6700.0,71.059,2.8160000000000003,77.4606,19.9,96.0,14014.49951,1.422230406,1368625150.0,3.2288556689999997,2.7332613230000002,10.97617927,19.25584591,62.37125264,69.65296524,25.59283307,52.15775871,95.4242292,84.44204971,27977571.05,169668449.5,4460.634144,-166910700.1,,37.59453831,225.59,137.806,127.0,4.0,63.0,2.738925282
YR2008,BEN,8696921.0,2.8235555480000003,114760.0,6552883600.0,750.0,15362653670.0,1770.0,58.653999999999996,5.468999999999999,106.2162,115.5,66.0,46610.0,0.5072371015,7132787397.0,4.889898637,6.438068578999999,23.9691932,22.01246047,22.85463824,33.643279799999995,20.37525438,41.68562644,50.06457926,109.28359950000001,74313553.91,48016408.32,820.1508782999997,-173827794.6,7.947298761,49.18516354,283.036,235.644,24877.0,1700.0,12258.0,60.90565727
YR2008,BMU,65273.0,0.5933300456,54.00000095,7864787750.0,120490.0,4883611564.0,74820.0,79.23658537,1.77,,,,10.0,9.943759287999999,6109928000.0,1.52789391,2.085337649,0.7905330472,9.131105964,,,,119.8222384,19.36193029,102.3256873,190915102.1,171529641.6,93605.74817,151362971.9,,,,,,,,0.0
YR2008,BTN,671613.0,1.008172467,38393.999019999996,1214273464.0,1810.0,3664847531.0,5460.0,67.325,2.48,43.913000000000004,48.1,99.0,26854.29932,0.6278988047999999,1258332337.0,4.7683542260000005,5.653072455,18.40978938,43.19856057,48.79026012,57.95919187,42.91739734,37.73437977,84.55635832,135.6830732,61007916.24,3144001.019,1873.59735,-3144001.019,8.327160494,43.50675508,231.46,237.613,528.0,36.0,337.0,5.027199918
YR2008,BOL,9721454.0,1.691076655,1098580.0,14340348813.0,1480.0,46346675903.0,4770.0,66.937,3.364,80.1186,46.4,92.0,572190.0,1.361717085,16674324634.0,6.148497195,10.38118272,10.44240446,29.73663909,44.90655623,37.96046497,17.55274034,51.82969543,69.60401848,151.74632680000005,105883449.6,512335605.2,1715.2089219999998,-509335605.2,14.00681077,43.23161594,240.30700000000002,176.33900000000003,9149.0,590.0,5868.0,23.42146002
