Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2015,AFG,34413603.0,3.077083595,652860.0,20583384003.0,600.0,65514856446.0,1900.0,63.376999999999995,4.976,81.693,70.4,63.0,13500.0,,19907111419.0,1.451314655,2.447563008,20.63432272,22.12404249,11.68798401,43.43754258,19.45468731,57.27106807,41.66350318,154.17563169999997,228995995.2,169146608.0,578.4663529000002,-170481690.3,-0.6617091647,34.88336856,248.72400000000002,206.74599999999998,62652.0,8400.0,48237.0,14.18329477
YR2015,ALB,2880703.0,-0.2912057868,28750.0,12637204815.0,4390.0,33994794481.0,11800.0,78.025,1.6769999999999998,20.0772,9.6,97.0,7715.0,,11386931490.0,2.230000179,0.5529012715999999,19.7802186,21.76367333,27.26739045,44.53361589,25.8190478,117.65921829999999,54.88748225,92.55509033,153312400.5,989578334.8,3952.830781,-910256726.0,1.910016978,41.86891396,99.215,51.195,302.0,5.0,215.0,0.0
YR2015,DZA,39728025.0,2.045387243,2381740.0,192681889720.0,4850.0,568748825319.0,14320.0,76.09,3.043,10.665,24.9,95.0,19560.0,,165979277277.0,3.763466958,-6.512866877,11.57870748,35.726083,23.17177829,36.52335083,50.78058728,108.80894029999999,52.03661651,188.3092004,72128990.59,-537792920.9,4177.8889659999995,638915215.3,4.784447007,18.21359407,107.191,84.44,21455.0,1200.0,15661.0,0.7981221268
YR2015,ASM,55812.0,0.037633397400000004,200.0,,,,,,,,,,175.4000092,,661000000.0,1.248049922,1.532205307,,,64.59909228,99.39485628,,,159.4553707,160.28599540000005,,,11843.33118,,,,,,,,,0.7069059270999999
YR2015,AND,78011.0,-1.529058438,470.0,,,,,,,,3.3,96.0,160.0,,2811489409.0,0.8422035184000001,-0.45546551469999996,0.4701947048,9.783363312,,,,91.44351438,,,,,36039.6535,,,,,,2.0,,1.0,0.0
YR2015,AGO,27884381.0,3.4388506839999997,1246700.0,125915235124.0,4520.0,187823443880.0,6740.0,59.398,5.774,157.2756,88.1,51.0,578560.0,,116193649124.0,0.9435756131,-3.51839026,9.122534471,41.93309265,29.75459949,33.13392129,34.20248913,49.79322295,46.36570106,137.5949534,1252909012.0,10028215163.0,4166.979684,-10813085379.0,10.27804607,49.47775445,279.712,206.21900000000002,67248.0,3000.0,36480.0,22.53427000000001
YR2015,ATG,93566.0,1.078837937,440.0,1238658114.0,13240.0,2026376153.0,21660.0,76.483,2.003,44.4692,7.3,91.0,98.00000191,,1359194741.0,4.025736808,2.4316764490000002,1.585560274,16.18577645,44.30517111,49.32437120000001,,188.1025159,37.89008187,63.64050347,52822644.38,107460503.5,14526.588080000001,-94066681.07,0.9689934588,,153.01,106.995,8.0,1.0,6.0,0.2641289131
YR2015,ARG,43131966.0,1.078001344,2780400.0,543279945585.0,12600.0,869846606665.0,20170.0,76.068,2.301,63.096000000000004,11.5,89.0,271120.0,,594749285413.0,2.731159828,26.579991600000003,5.1566859019999995,23.15305614,10.70565205,11.78057404,17.07070488,143.566834,19.67030526,146.07032769999995,685001365.9,11758994011.0,13789.060419999998,-10883760784.0,,41.35270691,152.24,82.139,7710.0,310.0,5016.0,
YR2015,ARM,2925553.0,0.45050090270000004,29740.0,11754066438.0,4020.0,26603930152.0,9090.0,74.467,1.7380000000000002,22.8308,14.4,97.0,3320.0,,10553337673.0,3.1999999989999997,1.213909905,17.22312003,25.70869944,29.72799648,41.86526887,20.73053013,118.4217138,44.76308962,119.04590290000002,363788468.8,184127986.3,3607.2966969999998,-155376062.0,3.731691193,46.71960995,175.81400000000005,75.161,556.0,12.0,325.0,0.0
YR2015,ABW,104341.0,0.544892394,180.0,2481324143.0,23780.0,3805976196.0,36480.0,75.725,1.854,25.0092,,,4.199999869,,2691620112.0,-0.45058576149999996,2.04106016,,,69.61394770000001,75.63304276,21.48194271,135.13384,58.98711312,93.71829079,74978013.41,-28775856.42,25796.38025,39290644.13,0.4750666105,,115.34299999999999,71.506,,,,1.473163002
YR2015,AUS,23815995.0,1.4392166530000001,7741220.0,1442200534243.0,60560.0,1079442146588.0,45320.0,82.4,1.814,11.9498,3.9,95.0,1247510.0,,1351520093186.0,2.336075481,-0.7018190482,2.373010948,23.63296544,19.98741683,21.51229506,26.25973287,107.67783490000002,29.33977837,148.19650910000001,6054990681.0,45051418215.0,56748.42026,-38225918291.0,1.5083667219999999,45.88967536,,,1019.0,20.0,737.0,0.0
YR2015,AUT,8642699.0,1.120992502,83879.00391,410425552333.0,47490.0,426833867811.0,49390.0,81.1902439,1.49,7.7896,3.7,96.0,38690.0,,381805676698.0,1.142980101,2.167847741,1.129805041,25.1791045,53.09026348,49.33979119,23.80527645,155.2154711,80.87202963,106.17514070000001,4748475188.0,-7972751913.0,44176.67174,5837277053.0,0.8965653156000001,46.67446641,84.68799999999997,44.687,255.0,4.0,190.0,0.0
YR2015,AZE,9649341.0,1.191209858,86600.0,63362222572.0,6570.0,166802300244.0,17290.0,72.266,1.94,53.1988,26.3,98.0,11394.000240000001,,53074468085.0,1.050750982,-8.810534907000001,6.177443587000001,44.89178946,37.79470799,34.80666641,27.91351984,111.16507820000001,48.62790138,116.4481506,1293019000.0,4047630000.0,5500.320497,-838252000.0,4.009438267,49.02063936,160.775,89.01899999999998,4144.0,48.0,2459.0,0.1575624764
YR2015,BHS,374206.0,0.9594093239,13880.0,10798735842.0,28860.0,11505214593.0,30750.0,73.08800000000002,1.7819999999999998,31.1194,11.2,94.0,5150.0,,11792300000.0,1.044959524,6.507529872,0.8183306056,11.1267522,34.98130136,38.70576563,24.67881584,83.15606912,29.46838191,80.84021778,178800140.7,76075924.75,31512.85655,-76075924.75,1.86826447,47.20118251,198.415,118.76299999999999,48.0,4.0,32.0,0.2231957401
YR2015,BHR,1371851.0,2.642471156,778.0000305,31086070126.0,22660.0,60768065805.0,44300.0,76.762,2.056,13.618,7.6,99.0,6.000000237999999,,31125851064.0,2.861967825,-9.368381023,0.3154660387,40.29847941,82.4167843,71.65060855,26.52409744,183.62453359999998,87.19440296,126.14854229999999,2367287234.0,64893617.02,22688.9444,-3126063830.0,1.839519875,21.73262458,74.471,58.897,138.0,3.0,69.0,0.0
YR2015,BGD,156256276.0,1.117283565,147630.0,191313737872.0,1220.0,574312825140.0,3680.0,71.514,2.12,85.2192,36.1,97.0,14290.0,,195078678697.0,6.552652796,5.872764205,14.78299644,26.83139483,17.33667379,24.74932252,28.88668925,84.07708629,38.15178599,67.8984988,32102746.72,2831152765.0,1248.453398,-2771250741.0,6.19428023,28.35523312,150.041,109.465,88460.0,6000.0,62219.0,1.2531608920000001
YR2015,BRB,285324.0,0.17504200739999998,430.0,4352102485.0,15250.0,4764205812.0,16700.0,78.801,1.614,37.2136,13.3,96.0,63.00000191,,4584150000.0,0.904159132,-1.416485573,1.344851281,13.86625656,35.22790485,43.77256416,17.33909231,117.337483,45.8318336,121.8570195,,69489165.77,16066.4718,,-1.112789925,49.38608637,124.01899999999999,74.168,38.0,1.0,26.0,0.8295454545000001
YR2015,BLR,9489616.0,0.15930080189999998,207600.0,63737187367.0,6720.0,166909211944.0,17590.0,73.62439024,1.724,17.2534,4.0,99.0,86335.0,,56454734397.0,-3.829570558,16.02249378,6.283207582999999,32.69230577,58.01076657,57.90405963,29.03469599,121.2815762,100.88082179999999,98.80975168,162300000.0,1652300000.0,5949.106307,-1545700000.0,13.53448976,49.65251726,245.38400000000001,82.36,349.0,3.0,189.0,0.0
YR2015,BEL,11274196.0,0.5794462417,30530.0,498111049895.0,44180.0,511108874396.0,45330.0,80.99268293,1.7,5.2022,4.0,96.0,6834.000244,,455940347170.0,1.7395804480000001,0.9965132844,0.6987548367,19.76788282,80.78115274,79.35481815,23.70144978,113.16582120000001,169.40176599999995,114.80140359999999,4395052607.0,-24266120893.0,40441.052039999995,16338968916.0,0.5614291528,46.04907907,89.305,53.933,404.0,7.0,277.0,0.0
YR2015,BLZ,360933.0,2.118799855,22970.0,1628225032.0,4510.0,2908820356.0,8060.0,74.03399999999998,2.439,70.1638,15.3,96.0,13663.00049,,1762500450.0,3.4319504839999997,0.653507907,12.52701808,13.84998512,57.52401368,64.80639764,21.18466126,58.72170181,86.7517509,93.31018409,41161360.53,59119223.9,4883.179011,-58649340.13,,39.64533387,220.34599999999998,128.639,103.0,3.0,78.0,1.217649175
YR2015,BEN,10575952.0,2.771714168,114760.0,9117540639.0,860.0,22267074395.0,2110.0,60.608000000000004,5.047,90.2036,99.9,67.0,43110.0,,8291155881.0,2.095808383,0.07574713763999999,22.49276072,20.64317468,24.43981936,34.35806542,25.97169542,88.1051181,51.17501179999999,119.3363537,98177442.48,149695382.1,783.9630778,-117009295.2,0.2736678162,49.17181415,266.315,219.592,25062.0,1700.0,12932.0,54.9356193
YR2015,BMU,65239.0,0.1535178618,4290.0,,,,,81.01219512,1.62,,,,10.0,,,,,,,,,,59.66212397,,104.11092940000002,186973109.8,-143094386.1,,58627864.43,,,,,,,,0.0
YR2015,BTN,727876.0,1.219146338,38393.999019999996,1894466432.0,2600.0,6062828129.0,8330.0,70.419,2.037,23.305999999999997,33.3,97.0,27549.29932,,2059809920.0,6.644564258,2.69870496,16.71299354,41.32763920000001,33.21936009,63.19885157,53.94776304,92.83820321,78.16255201,114.9831645,54958721.17,6450953.85,2829.891245,-6450953.85,4.548143951,40.31624034,206.653,209.35299999999998,355.0,26.0,239.0,0.4975124386
