Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2013,AFG,32269589.0,3.4945890489999996,652860.0,21249369830.0,660.0,60708991115.0,1880.0,62.525,5.359,94.429,76.9,57.0,13500.0,0.3103410149,20561054090.0,5.600744661,4.822785476,22.81066274,20.44460531,19.59158171,55.15232718,17.34351423,52.08357627,44.10766082,143.2297897,474094242.5,48311346.0,637.1650438999999,-48311346.0,7.385771784,34.01123289,257.135,215.30700000000002,67154.0,9600.0,51219.0,15.86388887
YR2013,ALB,2895092.0,-0.1832113846,28750.0,13156773061.0,4540.0,31131418948.0,10750.0,77.554,1.69,20.5124,10.7,99.0,7734.199829000001,1.7492110790000002,12776280961.0,1.001987926,0.28877536989999997,19.5651704,23.06133093,28.916314399999997,46.95739871,28.05249572,126.9369686,56.62054570000001,95.27660246,190551293.6,1254274472.0,4413.082887,-1225674342.0,1.925443995,41.46179626,103.98100000000001,52.505,338.0,6.0,210.0,0.2101523721
YR2013,DZA,38140132.0,2.002727839,2381740.0,209972054075.0,5510.0,515657493812.0,13520.0,75.661,2.99,11.259,25.7,95.0,19408.000490000002,3.525557358,209755003251.0,2.767638867,-0.061844144779999985,9.851117128,44.25329676,33.20989779,30.400925800000003,43.39059927,103.6101395,57.21055428,283.14182719999997,38715810.2,1691886708.0,5499.587764,-1963635050.0,3.25423911,19.21780169,110.382,87.096,21138.0,1100.0,15510.0,1.384611109
YR2013,ASM,55713.0,0.08260011244,200.0,,,,,,,,,,176.1000061,,641000000.0,-2.756508423,2.355602289,,,71.29485179,100.0,,,135.2574103,136.83636840000003,,,11505.39371,,,,,,,,,0.7129435563
YR2013,AND,80774.0,-2.0257921580000002,470.0,,,,,,,,3.6,95.0,160.0,5.901775324,3281585236.0,0.3516450019,0.00036061591699999997,0.5773377729,10.2524993,,,,79.14799317,,,,,40626.75163,,,,,,2.0,,1.0,0.0
YR2013,AGO,26015780.0,3.5519504669999997,1246700.0,124418737746.0,4780.0,168450221056.0,6470.0,58.053999999999995,5.952999999999999,164.0252,98.4,59.0,581056.0156,1.25377617,136709862831.0,4.954590478,2.839744164,6.50749254,53.36285398,50.74708439,36.06484639,26.14296935,51.06592034,69.18154846,251.58565430000002,2395965856.0,-7120017424.0,5254.882338,8041583617.0,8.777814292999999,49.35173575,285.9890000000001,212.458,71093.0,3100.0,37355.0,25.15396959
YR2013,ATG,91516.0,1.217000042,440.0,1156438970.0,12640.0,1829414709.0,19990.0,76.218,1.9980000000000002,46.1564,8.0,96.0,98.00000191,5.729937934,1192919630.0,-0.1038646933,-1.4241040809999999,1.998166341,15.53127512,45.7328006,60.42217926,,124.9595699,47.94958401,59.25322651,2222448.148,134288999.6,13035.093640000001,-134288999.6,1.0594978240000001,,156.19799999999995,109.605,9.0,1.0,6.0,0.2641289131
YR2013,ARG,42202935.0,1.1191091999999998,2780400.0,543285805981.0,12870.0,841055034261.0,19930.0,75.756,2.322,63.41,12.6,94.0,277055.9961,4.498539995,552025140252.0,2.405323781,23.94879842,6.052918437000001,24.00588144,14.61717339,14.71675561,17.3057789,159.63946130000005,27.24604172,156.3571727,887803486.6,9821661858.0,13080.25473,-8931688999.0,,41.18529371,155.775,83.995,8462.0,330.0,5469.0,2.095009445
YR2013,ARM,2897584.0,0.46196664439999996,29740.0,11911914236.0,4110.0,24612813140.0,8490.0,74.056,1.7280000000000002,24.1716,15.9,97.0,3316.0000609999997,1.8970400859999998,11121465767.0,3.3,3.366824642,18.43476288,26.70904814,28.359126500000002,48.19706929,22.26353269,115.4848446,53.56308354,117.6190033,355297861.2,346092394.4,3838.1858009999996,-315829524.3,5.789667785,47.39795576,179.62900000000005,77.145,624.0,11.0,366.0,0.007442593631
YR2013,ABW,103159.0,0.5823494114,180.0,2473122222.0,23970.0,3614101657.0,35030.0,75.441,1.8130000000000002,27.3444,,,4.199999869,8.353561008,2581564246.0,4.198232323,-2.2522345969999997,,,68.57822982,82.53624757,23.99913439,134.5495788,64.14626336,110.7858625,66652368.72,226371388.8,25025.09956,-221951574.3,-2.37226328,,118.655,73.561,,,,1.473163002
