Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2017,AFG,36296400.0,2.548346644,652860.0,20091447897.0,550.0,70565716024.0,1940.0,64.13,4.633,68.957,64.7,64.0,,,20191764940.0,2.665292046,1.9477226419999998,20.46650517,22.12766961,5.904815515,45.33206528,19.17422546,65.92913406,41.40301764,168.91954230000005,138003014.9,51533896.77,556.3021385,-62329000.69,4.975951506,35.67570397,240.31400000000002,198.18400000000003,58846.0,7700.0,45771.0,12.74018624
YR2017,ALB,2873457.0,-0.09197229374,28750.0,12336167199.0,4290.0,37246277501.0,12960.0,78.333,1.6380000000000001,19.642,9.0,96.0,,,13025062196.0,3.8366196560000003,1.45905714,19.01433332,20.37511966,31.55665286,46.60467575,25.04915937,125.7103519,58.31066206,94.44396326,106330982.9,1022757857.0,4532.889198,-1128922245.0,1.993928105,41.68214511,94.45,49.88399999999999,278.0,5.0,221.0,0.0
YR2017,DZA,41389198.0,2.044952503,2381740.0,162798722125.0,3930.0,622062721188.0,15030.0,76.499,3.045,10.071,24.0,88.0,,,167555280113.0,1.600000001,4.42897352,12.27216437,37.24212085,22.63888685,33.50146523,48.39811629999999,110.76724650000001,48.49145902,178.3089537,69057115.78,1200965280.0,4048.285258,-1204341137.0,5.59111591,17.87621761,104.0,81.785,21082.0,1200.0,15287.0,0.7729904681
YR2017,ASM,55620.0,-0.2173113525,200.0,,,,,,,,,,,,634000000.0,-5.379746835,2.610539471,,,57.41324921,92.74447950000001,,,159.6214511,157.20698190000005,,,11398.77742,,,,,,,,,0.700868298
YR2017,AND,77001.0,-0.3836736226,470.0,,,,,,,,3.0,99.0,,,3013387424.0,1.7240222369999998,1.063769418,0.48353078439999997,9.938371327999999,,,,104.3324113,,,,,39134.39337,,,,,,2.0,,1.0,0.0
YR2017,AGO,29816748.0,3.322080998,1246700.0,106188912082.0,3560.0,192229589021.0,6450.0,60.379,5.6,150.526,80.4,42.0,,,122123822334.0,-0.1472074262,22.61450476,10.01699586,42.16795333,29.00410005,23.2527214,24.13030458,44.68610714,40.18626265,137.06029660000002,961415276.2,-7397295409.0,4095.812942,8749300466.0,31.69168614,49.59951033,273.435,199.981,64652.0,3000.0,35922.0,19.920736899999998
YR2017,ATG,95426.0,0.9465570034,440.0,1377672187.0,14440.0,2241317344.0,23490.0,76.752,1.999,42.782,6.7,99.0,,,1510084751.0,3.032606112,0.06878992252,1.7476557000000001,18.87685395,,,,192.819567,50.46074398,62.17042272,50038548.79,112936813.2,15824.667809999999,-98258068.7,2.43248789,,149.822,104.385,8.0,1.0,5.0,0.2641289131
YR2017,ARG,44044811.0,1.0371338970000001,2780400.0,577966910661.0,13120.0,894618626235.0,20310.0,76.372,2.275,62.782,10.4,89.0,,,642695864756.0,2.668590379,26.00748315,5.478382229,21.8690651,11.24272132,13.98061064,18.75723171,140.8771235,19.53521205,150.6284221,1005897202.0,11516861462.0,14591.86338,-10361231244.0,,42.09549643,148.705,80.283,7001.0,290.0,4828.0,
YR2017,ARM,2944809.0,0.2946122276,29740.0,11677641628.0,3970.0,29470204832.0,10010.0,74.797,1.75,21.49,13.0,96.0,,,11527458566.0,7.500000001,2.150641899,14.99426012,25.80953238,37.32950851,49.50064366,19.28969885,118.4642306,55.81455759,132.8152298,367496443.8,250935110.2,3914.501268,-221878286.3,0.9695532687999999,45.97570448,171.99900000000005,73.176,490.0,11.0,286.0,0.0
YR2017,ABW,105366.0,0.4699444526,180.0,2490319228.0,23630.0,3894622536.0,36960.0,76.01,1.886,22.674,,,,,2700558659.0,1.330511037,0.6865260384,,,70.81092263,75.23789822,21.47290029,,,95.7911084,,162458100.6,25630.26649,,-0.48131450810000004,,112.03,69.45100000000001,,,,
YR2017,AUS,24601860.0,1.684523108,7741220.0,1270103392273.0,51630.0,1188350232406.0,48300.0,82.49756098,1.765,11.715,3.7,95.0,,,1330803227996.0,2.342582287,3.716815543,2.712818048,23.48938403,21.18092708,20.56596951,24.05033233,111.70805159999998,34.5538687,172.49288719999996,6771804995.0,43394831441.0,54093.60219,-37944404848.0,1.948647409,46.32932354,,,997.0,20.0,729.0,0.0
YR2017,AUT,8797566.0,0.6946211036,83879.00391,399020723514.0,45360.0,472748078789.0,53740.0,81.64146341,1.53,7.34,3.6,96.0,,,416835975862.0,2.55088076,1.252141664,1.20180048,25.27695588,53.73308894,50.64270623,25.1381586,123.11929579999999,82.47392737,106.69893200000001,5475093165.0,15608009061.0,47380.829639999996,-5937553.796,2.081268583,46.63090525,79.032,41.778999999999996,254.0,4.0,187.0,0.0
YR2017,AZE,9854033.0,0.9812618045,86600.0,40151729346.0,4070.0,165259398124.0,16770.0,72.693,1.9,55.838,22.9,98.0,,,40865558912.0,-0.2820111968,16.73394784,5.607369011,49.7017251,48.54786473,41.85445095,24.3789257,102.86105479999999,59.36049976,120.23993109999999,603318000.0,2867487000.0,4147.0897159999995,-303106351.9,12.90489121,48.72085076,150.322,89.884,3520.0,44.0,2044.0,0.1553740168
YR2017,BHS,381761.0,1.008311908,13880.0,11533374350.0,30210.0,11803570163.0,30920.0,73.554,1.7619999999999998,30.000999999999998,10.5,90.0,,,12162100000.0,1.437191339,1.275330817,1.001471785,13.21317865,33.65454979,41.80939147,27.06522722,92.60913413,30.24971017,78.46313484,262328167.5,594994763.8,31857.89015,-594994763.8,1.5182070069999998,47.14553922,194.61700000000002,116.318,46.0,4.0,30.0,0.2231957401
YR2017,BHR,1494074.0,4.677986951,778.0000305,31649248502.0,21180.0,67210307749.0,44980.0,77.032,2.01,13.368,7.3,99.0,,,35432686170.0,3.803522262,5.8425946479999995,0.2907821168,41.30802413,75.44272215,67.3887931,32.94282161,158.2568089,74.01075909,126.7659979,2465957447.0,518882978.7,23715.48275,289893617.0,1.38734376,20.94639544,72.491,57.20399999999999,135.0,3.0,67.0,0.0
YR2017,BGD,159670593.0,1.070244022,147630.0,242753902143.0,1520.0,665863505839.0,4170.0,72.05199999999998,2.062,82.962,31.9,97.0,,,249723862487.0,7.284184092,6.278683267000001,13.413466,27.75089998,15.03610763,20.26789246,30.51045462,94.5264735,35.51402702,65.25621482,46838244.51,1810395804.0,1563.994082,-1683653529.0,5.7020701570000005,30.2460435,145.697,103.84,78154.0,5100.0,53785.0,0.0
YR2017,BRB,286233.0,0.1527894862,430.0,4362455899.0,15240.0,5048878592.0,17640.0,78.98100000000002,1.615,33.55,12.6,92.0,,,4673500000.0,1.0,2.16773325,,,37.9810827,44.8622756,18.276372100000003,115.1391179,44.61324489,120.32727759999999,,286157362.7,16327.607230000001,,4.66018464,49.34992248,121.021,72.178,36.0,1.0,25.0,0.8288953032999999
YR2017,BLR,9498264.0,-0.03442141893,207600.0,50353437727.0,5300.0,172913552615.0,18200.0,74.12926829,1.541,14.507,3.6,97.0,,,54726595249.0,2.5321835,8.623147404,7.565802538,31.55448509,66.7896002,66.57815452,28.03035891,120.7921902,115.9856551,97.76214816,137800000.0,1276300000.0,5761.74712,-1208500000.0,6.031837252000001,49.67278409,,,309.0,3.0,159.0,0.0
YR2017,BEL,11375158.0,0.38522801840000004,30530.0,478625635412.0,42080.0,568689904077.0,49990.0,81.43902439,1.68,4.651,3.8,96.0,,,494901708704.0,1.7343896559999998,1.668059515,0.6621058371999999,19.61448126,85.75816674,84.59370933,24.64940474,104.7403936,169.6233788,116.96483459999999,4700122172.0,-39482279939.0,43507.2382,31081213583.0,2.12597086,45.84257172,,,378.0,6.0,262.0,0.0
YR2017,BLZ,375769.0,1.9805288509999999,22970.0,1644113941.0,4380.0,2927673337.0,7790.0,74.365,2.346,68.487,13.8,90.0,,,1862614800.0,1.437288946,1.637106336,10.82934861,13.42014731,54.20844127,57.61866061,17.86435929,63.72026431,73.71357728,103.83768990000002,45607619.89,25637115.5,4956.808039000001,-25314785.72,,39.95018236,216.13,123.552,93.0,3.0,72.0,0.7841757792
YR2017,BEN,11175204.0,2.750055592,114760.0,8935489422.0,800.0,25258969765.0,2260.0,61.174,4.9060000000000015,86.096,95.5,70.0,,,9246696924.0,5.837823305,0.03170741766,23.01775639,21.54053482,27.28639960000001,40.29072884,28.38018586,78.50459562,59.88084227,129.5057574,72766013.68,200406480.3,827.4298100999997,-168577905.4,0.079070843,49.24157877,260.724,214.232,24924.0,1600.0,13016.0,53.83150061
YR2017,BMU,63874.0,-1.054914414,4290.0,,,,,81.44195122,1.61,,,,,,,,,,,,,,103.0896604,,107.7348577,218383822.0,-288109271.0,,246547669.3,,,,,,,,0.0
YR2017,BTN,745568.0,1.195337374,38393.999019999996,2151988707.0,2890.0,6946174570.0,9320.0,71.12899999999998,1.994,20.184,30.8,97.0,,,2528007911.0,4.629101391,5.492735747999999,17.36712703,40.56789395,29.09194977,49.55338639,51.25877925,97.99614519,63.37005485,120.76649740000002,52589438.24,-16553759.95,3390.714075,16553759.95,3.8582497310000003,40.20885668,200.683,199.12900000000002,332.0,24.0,222.0,0.0
YR2017,BOL,11192854.0,1.44923493,1098580.0,34623007935.0,3090.0,81357374860.0,7270.0,70.945,2.7769999999999997,64.9,28.0,83.0,,,37508642258.0,4.1952093669999995,6.06139712,11.58933645,26.36997525,24.90414423,31.80050839,22.22028654,97.94841441,45.72279605,100.6647722,232927804.4,712474137.8,3351.124053,-632781025.0,2.822758055,41.81026719,211.993,146.06799999999996,5605.0,380.0,3685.0,13.29706348
YR2017,BIH,3351527.0,-1.031207183,51210.0,17223321362.0,5140.0,45830216176.0,13670.0,77.128,1.276,9.642000000000001,5.9,69.0,,,18080118128.0,3.1635594869999997,1.704126438,5.601857227000001,23.90769486,40.07650758,56.41663148,21.03891235,102.64237920000001,93.19629374,103.2916195,63528250.64,462732353.5,5394.59122,-367820916.9,1.168812637,39.13215491,123.61,62.81,146.0,3.0,117.0,0.0
YR2017,BWA,2205128.0,2.0703261669999997,581730.0,15484768028.0,7020.0,37910872566.0,17190.0,68.812,2.91,46.06100000000001,37.5,97.0,,,17406565823.0,2.90753491,2.6149295059999997,1.9897542019999999,29.83348772,39.97064078,33.89727669,28.24159553,146.96015559999995,64.57333465,86.90326151,82275039.47,177114236.2,7893.675932999998,-177980045.8,3.308280768,48.49140788,250.771,163.438,1725.0,81.0,1421.0,11.03353734
YR2017,BRA,207833831.0,0.8071471623,8515770.0,1802952678568.0,8670.0,3194803975798.0,15370.0,75.456,1.739,59.111000000000004,14.8,91.0,,,2053594973993.0,1.063861259,3.4728105989999998,4.634705691000001,18.35323112,12.57345501,11.57102404,15.03563292,105.01420700000001,18.27862869,115.99033519999999,2238140844.0,70257759618.0,9880.946543,-50905373501.0,3.446367832,43.37547802,188.59599999999998,92.31299999999999,38792.0,1700.0,24944.0,1.125966891
