Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2011,AFG,30117413.0,3.143125903,652860.0,16077117862.0,530.0,48940525323.0,1620.0,61.553000000000004,5.77,107.256,84.1,64.0,13500.0,0.4064242171,17804280538.0,0.4263547929,16.59334672,23.74366399,22.74025248,21.90495206,66.87470893,16.67459153,45.81362616,38.70417558,146.4992,454083462.0,52173421.0,591.1623465,-52173421.0,11.80418581,33.23714314,266.32,224.28,72161.0,11000.0,54309.0,17.550194199999996
YR2011,ALB,2905195.0,-0.2690173318,28750.0,12803980612.0,4410.0,29663191358.0,10210.0,76.914,1.673,20.2754,12.3,99.0,7753.400269,1.803714725,12890866743.0,2.545405394,2.314779211,18.22676731,24.48441056,29.24153714,51.97703179,31.41358148,105.852915,56.99384026,94.24761307,150855105.3,1048087029.0,4437.177794,-846616681.6,3.442835932,42.40859609,106.273,54.425,390.0,8.0,207.0,0.2691615186
YR2011,DZA,36661444.0,1.883313834,2381740.0,168509499409.0,4600.0,473230115544.0,12910.0,75.199,2.909,11.1822,26.7,95.0,19255.99976,3.30557127,200019057308.0,2.891865995,18.24090967,8.110236706,49.62516202,38.78695388,28.68532157,38.05506418,97.14817842,60.36224829,262.5476474,30901604.94,2571237025.0,5455.84231,-2037319358.0,4.524211505,17.83146776,114.181,90.15299999999999,20576.0,1100.0,15169.0,2.015331234
YR2011,ASM,55759.0,-0.572257861,200.0,,,,,,,,,,176.8000031,,574000000.0,0.29368575620000004,-0.6390312347,,,58.36236934,97.38675958,,,112.36933799999998,135.68706840000002,,,10294.30227,,,,,,,,,0.7189811854000001
YR2011,AND,83747.0,-0.8347452689,470.0,,,,,,,,4.0,99.0,160.0,5.867410176,3442062830.0,-4.646543052,2.499867696,0.5346859326,12.402775199999999,,,,77.66725972,,,,,41100.72994,,,,,,3.0,,1.0,0.0
YR2011,AGO,24220661.0,3.634158626,1246700.0,82745466676.0,3420.0,140379801774.0,5800.0,56.33,6.12,170.1658,112.5,57.0,583551.9922,1.2526808409999999,111789686464.0,3.4719813719999997,31.77154279,5.845680969,56.02651474,60.66994844,39.31255941,26.42435369,49.84677338,78.30597148,245.8081262,564261541.6,-3023770966.0,4615.468028,5116413414.0,13.48246792,49.24503705,297.976,224.597,76424.0,3300.0,38297.0,27.76785238
YR2011,ATG,89253.0,1.382008785,440.0,1102751775.0,12360.0,1719331908.0,19260.0,75.956,1.989,47.832,9.0,99.0,98.00000191,5.751963518999999,1142042926.0,-2.079127047,1.199384563,1.9255292309999998,14.47480131,47.08717409,56.15968447,,197.2012145,42.5553181,66.98980242,2047116.2959999999,65160596.3,12795.56907,-65160596.3,3.456749672,,159.719,112.44,10.0,1.0,7.0,0.4304853106
YR2011,ARG,41261490.0,1.15305928,2780400.0,442037545216.0,10710.0,794325172722.0,19250.0,75.439,2.338,63.4412,13.9,95.0,282991.9922,4.64437307,530163281575.0,6.003951692999999,23.70347218,6.99873377,25.21269761,18.44920915,16.75694585,18.39845892,146.9554555,29.87192918,160.459876,1137054506.0,10839930945.0,12848.8642,-9351930945.0,,41.1959386,159.43,85.90799999999999,9221.0,360.0,5605.0,1.939490423
YR2011,ARM,2876538.0,-0.027147007819999996,29740.0,10160338284.0,3530.0,20909524017.0,7270.0,73.572,1.724,25.4306,17.6,97.0,3312.000122,1.709501839,10142111334.0,4.699999999,4.281549998,,,23.75685346,47.35401696,26.72036887,111.63471509999998,54.02228214,128.6172791,300394193.5,653219756.5,3525.8047469999997,-434138222.4,7.650008079,47.12919649,185.359,80.664,696.0,13.0,410.0,0.01821547059
YR2011,ABW,102046.0,0.370125352,180.0,2290680022.0,22450.0,3271119262.0,32060.0,75.158,1.7790000000000001,29.581999999999997,,,4.199999869,24.50751622,2549720670.0,3.44605475,3.107300649,,,67.81332165,83.7861525,28.50569676,,435.21912530000003,104.1335892,63910614.53,488156424.6,24985.993280000002,-485027933.0,4.3163319410000005,,121.954,75.655,,,,1.437888482
