Time Code,Country Code,"Population, total",Population growth (annual %),Surface area (sq. km),"GNI, Atlas method (current US$)","GNI per capita, Atlas method (current US$)","GNI, PPP (current international $)","GNI per capita, PPP (current international $)","Life expectancy at birth, total (years)","Fertility rate, total (births per woman)","Adolescent fertility rate (births per 1,000 women ages 15-19)","Mortality rate, under-5 (per 1,000 live births)","Immunization, measles (% of children ages 12-23 months)",Forest area (sq. km),CO2 emissions (metric tons per capita),GDP (current US$) [NY.GDP.MKTP.CD],GDP growth (annual %),"Inflation, GDP deflator (annual %)","Agriculture, forestry, and fishing, value added (% of GDP)","Industry (including construction), value added (% of GDP)",Exports of goods and services (% of GDP),Imports of goods and services (% of GDP),Gross capital formation (% of GDP),Mobile cellular subscriptions (per 100 people),Merchandise trade (% of GDP),Net barter terms of trade index (2000 = 100),"Personal remittances, paid (current US$)","Foreign direct investment, net inflows (BoP, current US$)",GDP per capita (current US$),"Foreign direct investment, net (BoP, current US$)","Inflation, consumer prices (annual %)","Labor force, female (% of total labor force)","Mortality rate, adult, male (per 1,000 male adults)","Mortality rate, adult, female (per 1,000 female adults)",Number of infant deaths,Number of maternal deaths,Number of neonatal deaths,People practicing open defecation (% of population)
YR2014,AFG,33370794.0,3.3555816610000004,652860.0,21141552523.0,630.0,63314619108.0,1900.0,62.966,5.162999999999999,88.061,73.6,60.0,13500.0,0.29394640710000003,20484873230.0,2.724543365,0.5669445397999999,22.13704137,21.22966322,15.78237739,51.41354736,18.15685477,55.15951463,40.51282088,145.3511303,524163478.5,42975262.5,613.8563329,-42975262.5,4.673996035,34.44526949,252.93,211.02599999999998,64808.0,9300.0,49715.0,15.02294235
YR2014,ALB,2889104.0,-0.2070469998,28750.0,13115304587.0,4540.0,32827572420.0,11360.0,77.813,1.6880000000000002,20.2948,10.0,98.0,7724.60022,1.9787633119999999,13228247844.0,1.770000297,1.554356006,19.99014839,21.50883929,28.21300146,47.19484414,25.67469191,115.9979353,57.91394363,93.67334197,178722842.2,1149927986.0,4578.667934,-1074294190.0,1.6130423530000002,40.93568404,101.598,51.85,318.0,6.0,212.0,0.0
YR2014,DZA,38923687.0,2.0335924519999997,2381740.0,213917623493.0,5500.0,545163628934.0,14010.0,75.878,3.022,10.962,25.3,95.0,19484.00024,3.735520147,213810022462.0,3.789121212,-0.29013147100000003,10.28639719,42.31057039,30.21911743,31.92665934,45.55443334,111.2386102,55.48897972,270.04098910000005,295922112.1,1502206171.0,5493.056772,-1520777119.0,2.9169269210000004,18.371140399999998,108.786,85.76799999999999,21358.0,1100.0,15635.0,1.086026792
YR2014,ASM,55791.0,0.1399053177,200.0,,,,,,,,,,175.79999919999997,,643000000.0,0.9448818898000001,-0.6269455146,,,66.25194401,105.4432348,,,148.8335925,139.7425231,,,11525.15639,,,,,,,,,0.7099247417
YR2014,AND,79213.0,-1.95147048,470.0,,,,,,,,3.4,96.0,160.0,5.832906215,3350736367.0,2.277683153,-0.1003670691,0.4961492011,9.90754123,,,,83.62390012,49.35961116,,,,42300.33413,,,,,,2.0,,1.0,0.0
YR2014,AGO,26941779.0,3.4974927439999997,1246700.0,134935106937.0,5010.0,182180193721.0,6760.0,58.776,5.864,160.6504,92.9,56.0,579808.0078,1.290306776,145712200313.0,4.822625549,3.5608227930000003,7.547056779,46.20332557,44.69503125,34.63789626,27.50046187,52.15898327,60.22145010000001,236.80013259999998,2746615873.0,3657514667.0,5408.410496,-2770722211.0,7.280387304,49.41481979,282.85,209.33900000000003,69055.0,3000.0,36838.0,23.84309044
YR2014,ATG,92562.0,1.136486988,440.0,1203456408.0,13000.0,1934629257.0,20900.0,76.34899999999998,2.001,45.3128,7.6,93.0,98.00000191,5.7444199560000015,1275576778.0,4.6581274310000005,2.169780234,1.6222610469999998,15.86050267,46.31165689,58.21622073,,129.6871286,49.46781809,58.36991993,37418394.96,46061586.83,13780.782369999999,-41642170.15,1.089441574,,154.60399999999996,108.3,9.0,1.0,6.0,0.2641289131
YR2014,ARG,42669500.0,1.099461091,2780400.0,526784533342.0,12350.0,836246704582.0,19600.0,75.913,2.312,63.253,12.0,95.0,274088.0078,4.781507775,526319673732.0,-2.5126153209999997,40.28297163,6.712703514,24.27739449,14.40547859,14.00131506,17.26288101,143.61583159999995,25.48641191,153.3167019,732414557.1,5065335542.0,12334.79825,-3144794109.0,,40.98967185,154.00799999999995,83.06700000000002,8080.0,320.0,5260.0,2.165725068
YR2014,ARM,2912403.0,0.5101227296,29740.0,12066250933.0,4140.0,25619970759.0,8800.0,74.273,1.732,23.5012,15.1,97.0,3317.999878,1.8987193740000001,11609512940.0,3.600000001,2.30918243,18.07203635,25.27053295,28.5651387,47.04654614,20.87186577,118.7723634,50.99266464,116.319658,390589978.8,406578406.7,3986.231624,-377774324.0,2.9813086889999996,46.92754882,177.72099999999998,76.153,590.0,12.0,345.0,0.002079748502
YR2014,ABW,103774.0,0.5943970374,180.0,2542890611.0,24500.0,3812628575.0,36740.0,75.583,1.834,26.1768,,,4.199999869,8.410064177999999,2649720670.0,0.8482278098,1.776821879,,,69.85030571,79.75964579,22.917984399999998,134.6194615,60.76746194,106.0733057,70222692.18,250618095.0,25533.56978,-241753769.3,0.421637771,,116.999,72.53399999999998,,,,1.473163002
